Test Name,positive,negative,ckpt_name,clip_skip,empty_latent_width,empty_latent_height,noise_seed,steps,cfg,sampler_name,scheduler
1_circles,minimalism simple illustration vector art style clean single black circle inside white rectangle symmetric shape sharp professional print quality highres high contrast black and white,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,151321,30,5.5,euler_ancestral,normal
2_jennifer,anime art portrait of (Jennifer Lawrence:0.9) beautiful young manga style high quality highres,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,ddim,karras
2_jennifer_2,"pirosmaniai, anime art portrait of (Jennifer Lawrence:0.9) beautiful young manga style high quality highres","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,ddim,karras
3_woman,"woman standing full body beautiful young, angry, facial expressions, action anime art","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,768,2131321,30,6,euler_ancestral,karras
4_naked,naked woman sexy beautiful young girl with big eyes and open mouth looking scared,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,768,512,111,50,5.5,ddim,normal
5_vodka_etam,"in the style of cyberpunk futurism, african influence, etam cru, light blue and gold, michael creese, steelpunk, michael hussar, white background, best quality, high quality, editorial photo, absurdres, masterpiece, intricate detail, film grain,","duplicated, (blurry), (low quality:1.4), (worst quality:1.4), watermark",1_bloody_mary_v1.safetensors,-1,512,512,111,25,5.5,euler_ancestral,exponential
5_vodka_etam,"pirosmaniai, in the style of cyberpunk futurism, african influence, etam cru, light blue and gold, michael creese, steelpunk, michael hussar, white background, best quality, high quality, editorial photo, absurdres, masterpiece, intricate detail, film grain,","duplicated, (blurry), (low quality:1.4), (worst quality:1.4), watermark",1_bloody_mary_v1.safetensors,-1,512,512,111,25,5.5,euler_ancestral,exponential
6_vodka_maid,"a closeup portrait of a playful maid, undercut hair, apron, amazing body, pronounced feminine feature, busty, kitchen, [ash blonde | ginger | pink hair], freckles, flirting with camera","duplicated, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation. tattoo",1_bloody_mary_v1.safetensors,-1,512,768,1111,35,5.5,ddim,karras
6_vodka_maid,"pirosmaniai, a closeup portrait of a playful maid, undercut hair, apron, amazing body, pronounced feminine feature, busty, kitchen, [ash blonde | ginger | pink hair], freckles, flirting with camera","duplicated, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation. tattoo",1_bloody_mary_v1.safetensors,-1,512,768,1111,35,5.5,ddim,karras
7_vodka_student,"pirosmaniai, beautiful 20yo student girl walking in retrofuturistic paradise ciyty , crowd of people, short brown hair, blue eyes, black skirt school uniform, white shirt, red scout tie, highly detailed","(deformed iris, deformed pupils:1.4), text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers",1_bloody_mary_v1.safetensors,-1,512,512,545454,45,7,euler_ancestral,normal
